sequence,x,y,z,heading,roll,pitch
1517161711313554140,-290.4275268240532,-581.33102793697,0,1.4844741182235313,0,0
1517161711347938953,-290.3987064362584,-580.998142343583,0,1.484394242614521,0,0
1517161711380030114,-290.37173714919794,-580.6869183126146,0,1.4843191198241585,0,0
1517161711413334968,-290.3436750686672,-580.3633725393227,0,1.4842405687834745,0,0
1517161711447770600,-290.31458229685956,-580.028255456916,0,1.4841587222114976,0,0
1517161711480002408,-290.28727969777975,-579.7140492033082,0,1.4840815348791816,0,0
1517161711513134165,-290.2591425605074,-579.3905335187827,0,1.48400160920181,0,0
1517161711546612660,-290.23063665050006,-579.0630836699922,0,1.4839202466426882,0,0
1517161711580052658,-290.20208901730615,-578.7354640306428,0,1.4838383751936979,0,0
1517161711616016238,-290.1713039794966,-578.382515484466,0,1.4837496532807717,0,0
1517161711647410532,-290.1443599919351,-578.0739016094241,0,1.483671634448234,0,0
1517161711681468288,-290.11505607284687,-577.7385731914692,0,1.483586396356812,0,0
1517161711746634724,-290.0587711689174,-577.0954244536968,0,1.483421559463064,0,0
1517161711779994077,-290.0298494465016,-576.7654212043143,0,1.4833362922327171,0,0
1517161711814115804,-290.0001905472503,-576.4273430420855,0,1.4832484556494565,0,0
1517161711847745571,-289.97088390720216,-576.09361570897,0,1.4831612709748323,0,0
1517161711880161900,-289.9425639665131,-575.771441935656,0,1.4830766543914948,0,0
1517161711914643326,-289.9123637265976,-575.4282222271523,0,1.4829860244341972,0,0
1517161711948035833,-289.88304243314565,-575.0953328217571,0,1.4828976441783828,0,0
1517161711980679150,-289.85430793176175,-574.7694323046986,0,1.4828106639485201,0,0
1517161712014443515,-289.8245127707778,-574.4318445641737,0,1.4827200898526165,0,0
1517161712046572918,-289.79609069971127,-574.1101400558231,0,1.4826333281966155,0,0
1517161712080400935,-289.7660926477168,-573.7709430282882,0,1.4825413747700185,0,0
1517161712148308565,-289.70564651975366,-573.0885420317421,0,1.482354908588066,0,0
1517161712181468868,-289.67601982489754,-572.7546036241826,0,1.4822629432536751,0,0
1517161712247851173,-289.61649482367346,-572.084721730528,0,1.482077041457033,0,0
1517161712280161225,-289.58741805085583,-571.7580119919108,0,1.4819856879534448,0,0
1517161712314730975,-289.55623213048045,-571.407979681887,0,1.481887313360443,0,0
1517161712349690153,-289.52461551159536,-571.053511242958,0,1.4817871651548922,0,0
1517161712380717708,-289.49648778580047,-570.7384958903324,0,1.4816977185988889,0,0
1517161712447671082,-289.4355780168383,-570.0574311292116,0,1.4815029023428645,0,0
1517161712482318436,-289.4039435152717,-569.7042995540103,0,1.48140111861631,0,0
1517161712514956249,-289.37407238512134,-569.3712238217336,0,1.4813046322624173,0,0
1517161712547984577,-289.34377336324445,-569.0337462419451,0,1.481206391802088,0,0
1517161712580906340,-289.31350160224713,-568.6969443494564,0,1.4811078669314919,0,0
1517161712614314207,-289.28271097530245,-568.3547516896701,0,1.4810072723651864,0,0
1517161712647388650,-289.252156374466,-568.015563643193,0,1.48090707038644,0,0
1517161712680729826,-289.2212836432892,-567.6732306301782,0,1.480805443377977,0,0
1517161712714691801,-289.1897621068928,-567.3241048871565,0,1.4807012859689046,0,0
1517161712747948845,-289.1588225664173,-566.9818203660158,0,1.480598665045574,0,0
1517161712780566177,-289.1284087469225,-566.6457340162045,0,1.4804974156126913,0,0
1517161712814715010,-289.0964932958282,-566.293461905689,0,1.4803907714366806,0,0
